,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
757,Krispy Kreme," Desserts, Beverages",600,,SD Road,,Secunderabad
758,Riwayat," Hyderabadi, Mughlai, North Indian",1200,3.7,Jubilee Hills,,Central West Hyderabad
759,The Fort Club," North Indian, Chinese, South Indian",600,4.3,Ambiance Fort,Attapur,South Hyderabad
760,Palamuru Grill," Andhra, South Indian, Biryani, Hyderabadi",800,4,Attapur,,South Hyderabad
761,Indulge Ice Cream, Desserts,300,,SD Road,,Secunderabad
762,Wow! Momo," Tibetan, Chinese, Asian",500,5,Malakpet,,South Hyderabad
763,Tilak's Kitchen," North Indian, Chinese, Andhra, Biryani",500,3.6,Madhapur,,West Hyderabad
764,Waffle House," Fast Food, Desserts",600,4.5,Madhapur,,West Hyderabad
765,Flying Sparrow Cafe," Chinese, Continental, Beverages",900,3.8,Jubilee Hills,,Central West Hyderabad
766,Hyderabad Spice," North Indian, Biryani, Chinese, Hyderabadi",1000,4.3,Accord Bleu Building,Madhapur,West Hyderabad
767,The Palm Banjara, North Indian,1800,,Banjara Hills,,Central East Hyderabad
768,Mumbai Kulfi, Desserts,300,,Narayanaguda,,Central Hyderabad
769,Pizza Hut," Pizza, Fast Food",800,4.6,Malakpet,,South Hyderabad
770,Rajasthan Restaurant," Rajasthani, North Indian",400,5,Madhapur,,West Hyderabad
771,Wild West Burgers," Italian, Fast Food, Beverages",500,,Narayanaguda,,Central Hyderabad
772,Sandwich Eatery," Fast Food, Beverages",500,,Narayanaguda,,Central Hyderabad
773,Nitchal Grand Restaurant," North Indian, Chinese",600,,Padma Rao Nagar,,East Hyderabad
774,Retro Cafe & Bistro," Continental, Fast Food, Beverages, Andhra",800,5,Retro Drive In,Madhapur,West Hyderabad
775,Smoke and Sizzle," Arabian, North Indian, Chinese, Continental, Beverages",600,,Narayanaguda,,Central Hyderabad
776,The Hoppery," Continental, Finger Food, Italian",2200,4.2,Jubilee Hills,,Central West Hyderabad
777,Mama Panda," Chinese, Asian",1500,4,Madhapur,,West Hyderabad
778,Gudgudee - Tickle Your Tastebuds," North Indian, Thai, Chinese",1400,4.3,Madhapur,,West Hyderabad
779,Makers Of Milkshakes," Beverages, Desserts",400,4,Malakpet,,South Hyderabad
780,Sacred Earth Cafe," Italian, Mediterranean",1000,4.1,Madhapur,,West Hyderabad
781,ABs - Absolute Barbecues," North Indian, Continental",1600,4,Next Galleria Mall,Panjagutta,Central East Hyderabad
782,Trisha Foods," Fast Food, Street Food, Chinese, Beverages",300,,Abids,,Central Hyderabad
783,Ta.Ma.Sha- Restro Cafe," North Indian, Chinese, Italian, Fast Food, Desserts",1500,3.2,Jubilee Hills,,Central West Hyderabad
784,99 Pancakes," Desserts, Pizza",500,3,Jubilee Hills,,Central West Hyderabad
785,Exotica," North Indian, Chinese, Mughlai",1600,4.3,Business Square,Hitech City,West Hyderabad
786,DATE Café & Lounge," Arabian, Lebanese",900,3.7,Madhapur,,West Hyderabad
787,Amnesia Sky Bar," North Indian, Continental",2100,4,Inorbit Mall,Madhapur,West Hyderabad
788,Pi," Continental, North Indian, Beverages, Italian",2000,4.7,Hotel Avasa,Hitech City,West Hyderabad
789,Euphoria Bakers, Desserts,500,,Padma Rao Nagar,,East Hyderabad
790,FB Cakes, Desserts,500,,Santosh Nagar,,South Hyderabad
791,Ala Dakshinapuramlo, South Indian,1200,4.5,Phoenix Tower A,Hitech City,West Hyderabad
792,Creme Borne, Desserts,800,,Abids,,Central Hyderabad
793,A'La Liberty," North Indian, Chinese, Mexican",1000,4.1,Cyber Grub,Hitech City,West Hyderabad
794,Fusion 9," Asian, Fusion, Italian",2200,4.2,Inorbit Mall,Madhapur,West Hyderabad
795,Sri Santosh Family Dhaba," North Indian, Chinese",600,2.8,Tarnaka,,East Hyderabad
796,Nag Restaurant and Banquets," Hyderabadi, North Indian, Chinese",900,2.6,Alwal,,Secunderabad
797,Arabian Shawarma, Lebanese,300,,Himayath Nagar,,Central Hyderabad
798,10 Downing Street," North Indian, Continental, Chinese, Fusion",1000,4,Kompally,,Secunderabad
799,Grease Monkey," North Indian, Italian, Beverages, Chinese, Finger Food",2900,,Empire Square Building,Jubilee Hills,Central West Hyderabad
800,Munching Time," Fast Food, Beverages",600,4,Malkajgiri,,Secunderabad
801,The Ice Cream Bakery, Desserts,400,,Abids,,Central Hyderabad
802,Sai Kailash Dhaba," Chinese, North Indian",700,4.4,Attapur,,South Hyderabad
803,Express By AB's," North Indian, Biryani",600,2.9,Pammasani Complex,Jubilee Hills,Central West Hyderabad
804,The Globe Grub," North Indian, Chinese, Fast Food",2000,4.1,Gachibowli,,West Hyderabad
805,Sandwich Eatery," Fast Food, Beverages",500,,Karkhana,,Secunderabad
806,Chinese Cornerz, Chinese,400,4.5,Madhapur,,West Hyderabad
807,ABs - Absolute Barbecues," North Indian, Continental",1600,4.2,Madhapur,,West Hyderabad
808,Ironhill Cafe," Continental, Italian, Fast Food, Beverages",900,4.2,Huda Techno Enclave,Madhapur,West Hyderabad
809,Casa De Latte," Fast Food, Beverages",700,,Banjara Hills,,Central East Hyderabad
810,Elsewhere Lounge & Kitchen," Continental, Asian, Italian",2200,4,Fantasy Square Building,Gachibowli,West Hyderabad
811,The Tea Planet, Tea,500,,Banjara Hills,,Central East Hyderabad
812,Tipsy Topsy Bakers," Fast Food, Chinese, Desserts",500,,Mehdipatnam,,Central Hyderabad
813,Hyderabad House," North Indian, Mughlai, Desserts",1000,,Jubilee Hills,,Central West Hyderabad
814,Cream Stone," Desserts, Beverages",400,4.7,Habsiguda,,East Hyderabad
815,Spice 44," South Indian, Chettinad, Chinese",800,3.2,Kompally,,Secunderabad
816,The Bedford Bakehouse And Tearoom," Continental, Italian, Beverages, Desserts",1000,,Banjara Hills,,Central East Hyderabad
817,Raju Gari Biryani," North Indian, Biryani, Chinese",600,4.6,Manikonda,,West Hyderabad
818,T- Grill," North Indian, South Indian, Andhra, Mughlai",700,3.1,Madhapur,,West Hyderabad
819,Capital Multi Cuisine Restaurant," Arabian, North Indian, Biryani, Chinese, Mughlai",1000,4.3,Malakpet,,South Hyderabad
820,Euphoria Bakers, Desserts,500,,Abids,,Central Hyderabad
821,Makers Of Milkshakes," Beverages, Desserts",400,,East Marredpalli,,Secunderabad
822,Yummy Bee, Desserts,500,,Jubilee Hills,,Central West Hyderabad
823,Taco Bell," Mexican, Tex Mex",500,3.2,Malakpet,,South Hyderabad
824,Hut-K Spice Kitchen," North Indian, South Indian, Chinese",900,3.9,Madhapur,,West Hyderabad
825,YOKO SIZZLERS, Chinese,800,,Jubilee Hills,,Central West Hyderabad
826,Pizzaexpress," Italian, Pizza",1600,5,Inorbit Mall,Madhapur,West Hyderabad
827,KKD Restaurant & Bar," Chinese, South Indian, North Indian",1200,3.6,Madhapur,,West Hyderabad
828,Sandwich Eatery," Fast Food, Beverages",500,4.4,Manikonda,,West Hyderabad
829,Wow! China by Wow! Momo," Chinese, Asian, Fast Food",1000,,West Marredpalli,,Secunderabad
830,Dock Frost'd," Desserts, Beverages",400,5,Oyster Uptown Building,Madhapur,West Hyderabad
831,Gabru Di Chaap," Fast Food, North Indian",500,5,Inorbit Mall,Madhapur,West Hyderabad
832,Wow! Momo," Tibetan, Chinese, Asian",500,,East Marredpalli,,Secunderabad
833,Rotis," North Indian, Continental, Chinese",1200,4,Hardhick Crown,Hitech City,West Hyderabad
834,Krimmy Thick Shakes, Beverages,300,5,Hitech City,,West Hyderabad
835,Mandi Bistro," Mughlai, Beverages",800,5,Madhapur,,West Hyderabad
836,Renao - Cafe & Bistro," North Indian, Continental, Asian, Beverages",1500,4.5,Madhapur,,West Hyderabad
837,Lassi Shop," Desserts, Beverages",200,,Kachiguda,,Central Hyderabad
838,Ministry Of Coffee Affairs," Continental, Fast Food, Chinese, Beverages",900,4,Madhapur,,West Hyderabad
839,The ThickShake Factory, Beverages,400,4,Manikonda,,West Hyderabad
840,The Kurtos," Fast Food, Desserts, Beverages",600,4.6,Madhapur,,West Hyderabad
841,Wow! Momo," Tibetan, Fast Food, Beverages",500,5,Habsiguda,,East Hyderabad
842,The Globe Grub," North Indian, Chinese, Fast Food",2000,,Jubilee Hills,,Central West Hyderabad
843,180 Oven Cafe And Bistro," Fast Food, Pizza, Beverages",600,4.3,Manikonda,,West Hyderabad
844,Jathara," North Indian, South Indian, Andhra, Biryani, Desserts, Beverages",2000,,Jubilee Hills,,Central West Hyderabad
845,The Palate Pleasure - Cafe & Bistro," Continental, Chinese, Modern Indian, Beverages",600,5,Madhapur,,West Hyderabad
846,1989 Milkshakes," Continental, Fast Food, Beverages",700,4.7,Dilsukh Nagar,,East Hyderabad
847,Bhookmark, Fast Food,400,4.7,Kukatpally,,West Hyderabad
848,Taste of India," Chinese, North Indian, Beverages",1000,3.7,Habsiguda,,East Hyderabad
849,1989 Pizza & Thick Shakes," Pizza, Beverages",700,4.6,Dilsukh Nagar,,East Hyderabad
850,Shree Santosh Family Dhaba," North Indian, Chinese",600,3.7,Madhapur,,West Hyderabad
851,Baby Lamb," South Indian, North Indian, Biryani",1600,2.5,Jubilee Hills,,Central West Hyderabad
852,Pizza Hut," Pizza, Fast Food",800,4.4,Inorbit Mall,Madhapur,West Hyderabad
853,Punjabi Affair," North Indian, Chinese",900,4.2,Oyster Uptown Building,Madhapur,West Hyderabad
854,Cafe Chocolicious," Fast Food, Beverages, Pizza, Burger",600,5,Madhapur,,West Hyderabad
855,Little Italy," Italian, Pizza, Beverages, Mexican",1500,4.2,Madhapur,,West Hyderabad
856,Smaaash C2H5OH Bowling Sports Bar," Continental, Fusion, Finger Food",1600,4.3,Inorbit Mall,Madhapur,West Hyderabad
857,BRC - Bavarain Roast Cafe," Finger Food, Continental, Mexican, Fast Food",2200,2.5,Jubilee Hills,,Central West Hyderabad
858,Telangana Grill and Kitchen," South Indian, North Indian, Chinese",1000,,Jubilee Hills,,Central West Hyderabad
859,The Joint Al Mandi," Lebanese, Arabian",800,4.3,Madhapur,,West Hyderabad
860,Cherla's Cafe & Restaurant," Chinese, North Indian, Bengali",800,5,Madhapur,,West Hyderabad
861,Girlfriend Arabian Mandi Restaurant, Arabian,1000,4.2,Hitech City,,West Hyderabad
862,Yumla, Fast Food,400,4.5,Madhapur,,West Hyderabad
863,10 Biryanis," North Indian, Mughlai, Biryani, Beverages",800,,Jubilee Hills,,Central West Hyderabad
864,Hard Rock Cafe," Finger Food, American, Continental, Hyderabadi",2400,4.3,Hitech City,,West Hyderabad
865,Zomoz, Tibetan,300,4.3,Madhapur,,West Hyderabad
866,Taco Bell," Mexican, Tex Mex",500,4.3,Madhapur,,West Hyderabad
867,Flechazo," Mediterranean, Continental, Chinese, North Indian, Mangalorean",1400,3.8,Kompally,,Secunderabad
868,Brickwood, Italian,1200,4,Madhapur,,West Hyderabad
869,Chili’s American Grill and Bar," American, Mexican, Tex Mex",1800,4.1,Inorbit Mall,Madhapur,West Hyderabad
870,The Spice Avenue Multi Cuisine Restaurant, North Indian,800,5,Madhapur,,West Hyderabad
871,Flechazo," Mediterranean, Continental, Chinese, North Indian, Mangalorean",1400,3.7,Madhapur,,West Hyderabad
872,Punjab Bistro," North Indian, Asian, Mughlai",1500,4.1,Inorbit Mall,Madhapur,West Hyderabad
873,The New Kerala Kitchen," South Indian, North Indian",800,,Karkhana,,Secunderabad
874,Mid Land Bakers & Confectioners," Chinese, Fast Food, Desserts",400,3.9,Madhapur,,West Hyderabad
875,Seasonal Tastes," Chinese, North Indian, Continental, South Indian",3000,4.2,The Westin Hyderabad Mindspace,Hitech City,West Hyderabad
876,California Burrito," Mexican, Fast Food",500,4.1,Madhapur,,West Hyderabad
877,The Biryani Blues," Biryani, North Indian, Chinese, Fast Food",500,5,The Alley Drive In,Madhapur,West Hyderabad
878,Ankapur Village Hotel," Hyderabadi, Mughlai",900,3.8,Madhapur,,West Hyderabad
879,FB Cakes, Desserts,500,1,Amberpet,,East Hyderabad
880,Hum Tum Masala Delight," North Indian, Chinese, Fast Food, Italian",700,,Mothinagar,,West Hyderabad
881,500CC Foodies Club," Chinese, North Indian, Beverages",800,4.1,Madhapur,,West Hyderabad
882,RoosterX, Arabian,400,5,Dilsukh Nagar,,East Hyderabad
883,Harley's Fine Baking," Desserts, Beverages, Fast Food",600,5,Madhapur,,West Hyderabad
884,Sanjos Donuts," Fast Food, Desserts, Beverages",500,,Nallakunta,,Central Hyderabad
885,Cookie Man," Desserts, Beverages",300,4,Inorbit Mall,Madhapur,West Hyderabad
886,President Dhaba," North Indian, Chinese, Mughlai",1000,4,Madhapur,,West Hyderabad
887,STR8UP," North Indian, Continental",1500,3.9,Jaysudha Heights,Madhapur,West Hyderabad
888,The Nosh Bistro," Fast Food, Italian",600,4.2,Habsiguda,,East Hyderabad
889,Eagles Pizza," Pizza, Fast Food",600,4,Habsiguda,,East Hyderabad
890,Pista House, Fast Food,500,2.5,Charminar,,South Hyderabad
891,Makau," Continental, Asian",2500,,Jubilee Hills,,Central West Hyderabad
892,Sanjos Donuts," Fast Food, Desserts, Beverages",500,3.9,Manikonda,,West Hyderabad
893,Wow! China by Wow! Momo," Chinese, Asian, Fast Food",700,3.8,Inorbit Mall,Madhapur,West Hyderabad
894,The Kurtosh Story," European, Street Food, Desserts",300,4.5,Madhapur,,West Hyderabad
895,Kazuza," Continental, Fast Food, Beverages",800,3.5,Habsiguda,,East Hyderabad
896,Harsha," North Indian, Chinese",500,,Kachiguda,,Central Hyderabad
897,The Friger Co.," Fast Food, Burger, Beverages",600,5,Madhapur,,West Hyderabad
898,Minyu," Chinese, Asian",1000,4.3,Madhapur,,West Hyderabad
899,Giani's," Desserts, Beverages",400,,Sikh Village,,Secunderabad
900,Makers Of Milkshakes," Beverages, Desserts",400,4,Habsiguda,,East Hyderabad
901,Maharaja Inn Cafe & Kitchen," North Indian, Chinese",800,,Kachiguda,,Central Hyderabad
902,Cream Town," Desserts, Beverages, Fast Food",300,2.1,Kukatpally,,West Hyderabad
903,Stikstof Ice-cream Cafe," Desserts, Beverages, Fast Food",500,3.9,Madhapur,,West Hyderabad
904,The Grand Trunk Road," North Indian, Chinese, South Indian",1100,4,Madhapur,,West Hyderabad
905,Bar One," North Indian, Chinese",1000,3.7,Jaysudha Heights,Madhapur,West Hyderabad
906,Breeze Monkey," North Indian, Chinese, Fast Food",2500,,Jubilee Hills,,Central West Hyderabad
907,NorFest - The Dhaba," North Indian, Chinese",900,3.7,Apnaa Nukkad Drive In,Dilsukh Nagar,East Hyderabad
908,Munching Time, Fast Food,500,2.5,Malkajgiri,,Secunderabad
909,Ice Cream Works, Desserts,300,3,Habsiguda,,East Hyderabad
910,Cream Stone," Desserts, Beverages",400,4.4,Bullet King Commercial Complex,Hitech City,West Hyderabad
911,The Big Cup Theory," Continental, Italian, European",1000,4.3,Madhapur,,West Hyderabad
912,Akshya Patra," Chinese, Italian, Fast Food",800,4.2,Madhapur,,West Hyderabad
913,Kumbakarnas Restaurant," North Indian, Andhra, South Indian, Biryani",1000,2.3,Tarnaka,,East Hyderabad
914,DOF Cafe, Fast Food,500,3.7,Prithvi Complex,Habsiguda,East Hyderabad
915,Pompeii Pizza Studio," Italian, Continental",1800,4.5,Madhapur,,West Hyderabad
916,Rayalaseema Ruchulu," Andhra, South Indian, North Indian",1200,3.9,Sun Towers,Madhapur,West Hyderabad
917,Trops Kitchen & Tavern," Italian, Continental, Asian",2600,3,Hitech City,,West Hyderabad
918,IX Cream, Desserts,300,4.1,Madhapur,,West Hyderabad
919,Hotel Simhapuri Deluxe," Andhra, South Indian",500,4.1,Madhapur,,West Hyderabad
920,Red Rhino," Italian, Modern Indian, Asian, Sushi, Mediterranean, Beverages",2400,4.1,Hitech City,,West Hyderabad
921,Pizza Hut," Pizza, Fast Food",800,,Karkhana,,Secunderabad
922,Urban Munchies, Fast Food,400,,Adikmet,,Central Hyderabad
923,Frosty Den," Fast Food, Desserts",400,,Amberpet,,East Hyderabad
924,Country Oven," Fast Food, Desserts, Beverages",800,2.7,Madhapur,,West Hyderabad
925,Desi Zayqa," North Indian, Chinese, Biryani",600,4,Madhapur,,West Hyderabad
926,Palamuru Grill," Andhra, South Indian, Biryani, Hyderabadi",800,4,Madhapur,,West Hyderabad
927,Cock & Bull," Continental, Italian",2100,5,Hitech City,,West Hyderabad
928,Dildaar," North Indian, Beverages",700,4.2,Madhapur,,West Hyderabad
929,Mexican Grill Subs, Mexican,400,,Jubilee Hills,,Central West Hyderabad
930,Platform 65," Chinese, North Indian",700,3.7,Dilsukh Nagar,,East Hyderabad
931,Kangan," North Indian, Mughlai",3000,4.3,The Westin Hyderabad Mindspace,Hitech City,West Hyderabad
932,Chicken Shawarma Hub," Lebanese, Fast Food",400,3.9,Madhapur,,West Hyderabad
933,Lunch Box," North Indian, Chinese, Biryani",700,3.8,Madhapur,,West Hyderabad
934,Minerva Coffee Shop," North Indian, South Indian, Chinese, Beverages",800,4.1,Hitech City,,West Hyderabad
935,Ohm," Asian, Chinese, Indonesian, Japanese, Thai",2000,4.5,Avasa Hotel,Madhapur,West Hyderabad
936,Shake Studio," Fast Food, Beverages",600,,Ameerpet,,Central East Hyderabad
937,Casbah," Mediterranean, Iranian",2500,4.1,The Westin Hyderabad Mindspace,Hitech City,West Hyderabad
938,Prego, Italian,2300,4.3,The Westin Hyderabad Mindspace,Hitech City,West Hyderabad
939,Pānch Saù," North Indian, Chinese, Continental",1200,3.8,Kukatpally,,West Hyderabad
940,7 Sisters," Asian, Japanese, Thai, Sushi",800,4.1,Kompally,,Secunderabad
941,Cream Stone," Desserts, Beverages",400,5,Attapur,,South Hyderabad
942,Ironhill Cafe," Fast Food, Italian, Beverages",700,4.2,Madhapur,,West Hyderabad
943,Al Ridaan Multicuisine Arabian Mandi Restaurant," North Indian, Arabian, Chinese, Mughlai, Biryani",800,,Bowenpally,,Secunderabad
944,The Glass House," Continental, Modern Indian",1800,,Jubilee Hills,,Central West Hyderabad
945,Strawberry Blues, Beverages,300,5,Alwal,,Secunderabad
946,Hitec Nanking," Chinese, Fast Food",1100,3.8,SBR CV Tower,Madhapur,West Hyderabad
947,Bake Bar, Desserts,400,4,Madhapur,,West Hyderabad
948,Pakka Local," North Indian, Andhra, Chinese",1300,4.1,Hitech City,,West Hyderabad
949,Daily Treats," Continental, North Indian, Desserts, Health Food",2000,4.7,The Westin Hyderabad Mindspace,Hitech City,West Hyderabad
950,La Sabroso," Continental, Chinese",800,5,Madhapur,,West Hyderabad
951,Pause Bar & Lounge," North Indian, Asian, Continental",1800,4,SBR Pearl,Hitech City,West Hyderabad
952,Taco Bell," Mexican, Tex Mex",500,4.2,L & T Metro Mall,Madhapur,West Hyderabad
953,Rachit's Restaurant," North Indian, Andhra, South Indian",800,4.8,Dilsukh Nagar,,East Hyderabad
954,Indulge Ice Cream, Desserts,300,,SL Jubliee,Jubilee Hills,Central West Hyderabad
955,Sanjos Donuts," Fast Food, Desserts, Beverages",500,,Tolichowki,,Central Hyderabad
956,19 Hrs Cafe and Bistro," Continental, Italian, Fast Food, Desserts",1000,5,Nacharam,,East Hyderabad
957,Blue Fox," North Indian, Mughlai, Chinese, Continental",1500,3.9,Hitech City,,West Hyderabad
958,Wow! Momo, Tibetan,400,3,Inorbit Mall,Madhapur,West Hyderabad
959,Ohri's Sahibs Barbeque," North Indian, Hyderabadi",2000,3.9,Cyber Grub,Hitech City,West Hyderabad
960,Hoy Punjab," North Indian, Mughlai, Beverages",1500,4.1,Gachibowli,,West Hyderabad
961,Taste of Rajasthan," Rajasthani, North Indian",400,2.3,Madhapur,,West Hyderabad
962,Pop O'Bob - Premium Bubble Tea," Beverages, Fast Food",400,2.5,Manikonda,,West Hyderabad
963,Kritunga Palegar Restaurant," Andhra, North Indian, Chinese, Hyderabadi",800,2.5,Habsiguda,,East Hyderabad
964,Clove - The Platinum Hotel," North Indian, Italian, Desserts, Beverages",1500,5,Mantra Mall,Rajendra Nagar,South Hyderabad
965,Barkaas Indo Arabic Mandi KPHB," North Indian, Desserts",800,4,Kukatpally,,West Hyderabad
966,Kebab House," North Indian, Mughlai",500,5,Kings Drive In,Madhapur,West Hyderabad
967,Hot Days Burger," Fast Food, Burger",600,5,Kings Drive In,Madhapur,West Hyderabad
968,Cross Breed Cub & Kitchen," Continental, North Indian, Beverages",2200,4,Gachibowli,,West Hyderabad
969,Mix, Finger Food,2000,4.4,The Westin Hyderabad Mindspace,Hitech City,West Hyderabad
970,Mid Land Bakers & Confectioners," Chinese, Continental, Fast Food, Desserts",500,4,Manikonda,,West Hyderabad
971,Flechazo," Mediterranean, Continental, Chinese, North Indian, Mangalorean",1400,3.9,Raidurgam,,West Hyderabad
972,Sandwich Eatery," Fast Food, Beverages",500,4.2,Kompally,,Secunderabad
973,Fast Forward, Fusion,1700,3.9,L & T Metro Mall,Madhapur,West Hyderabad
974,Beyond Bajji," Fast Food, Beverages, South Indian",500,,Amberpet,,East Hyderabad
975,Wings N Pizza, Fast Food,500,3.2,Suraram,,Secunderabad
976,Hotel Chandra Grand," Chinese, North Indian",800,4.7,Hotel Chandra Grand,Nacharam,East Hyderabad
977,Kritunga - The Palegar Cuisine," Andhra, North Indian, Chinese, Hyderabadi",800,4.8,Kompally,,Secunderabad
978,X-Lounge," Chinese, North Indian",1800,5,Phoenix Tower A,Hitech City,West Hyderabad
979,Mystic Cafe," Continental, Health Food, Beverages",800,,Jubilee Hills,,Central West Hyderabad
980,Nirvana Cafe & Family Resto Bar," North Indian, Chinese",1200,,Karkhana,,Secunderabad
981,Bellinie & Bae," North Indian, Continental",1800,,Jubilee Hills,,Central West Hyderabad
982,Deccan Serai," Mughlai, North Indian, Chinese",1000,4,Hotel Deccan Serai,Hitech City,West Hyderabad
983,The Tea Planet,,300,,Jubilee Hills,,Central West Hyderabad
984,Swiss Cafe," Fast Food, Desserts, Beverages",400,4.4,Manikonda,,West Hyderabad
985,The ThickShake Factory, Beverages,400,4,Madhapur,,West Hyderabad
986,The Funnel Hill Creamery," Desserts, Continental, Beverages",800,4,Madhapur,,West Hyderabad
987,Kritunga Restaurant," Andhra, North Indian, Chinese, Hyderabadi",800,2.3,Malkajgiri,,Secunderabad
988,Mumbai Treat," North Indian, Chinese, Italian, Fast Food, Beverages, Desserts",1000,,Film Nagar,,Central West Hyderabad
989,Heart Cup Coffee," Continental, North Indian, Asian, Beverages",1400,4,Gachibowli,,West Hyderabad
990,Giggle Water," Continental, Italian, Fast Food, Burger",2500,,Niharika Jubilee One,Jubilee Hills,Central West Hyderabad
991,Blue Fox," North Indian, Chinese, Seafood",900,4.1,Minerva Grand,Kondapur,West Hyderabad
992,Pachi Pulusu," North Indian, South Indian",1000,3.3,Manikonda,,West Hyderabad
993,Constant Grind at Hard Rock Cafe," Fast Food, American, Burger, Continental",2400,3.5,Hitech City,,West Hyderabad
994,Pizza Zone Signature," Pizza, Italian, Beverages, Desserts",700,5,Kompally,,Secunderabad
995,ABs - Absolute Barbecues," North Indian, Continental",1600,4,SLN Plaza,Kompally,Secunderabad
996,Delisco," Continental, Italian, Desserts, Beverages",800,4.8,Gachibowli,,West Hyderabad
997,Dream Creamery, Desserts,400,,Cuba Food Havana,Film Nagar,Central West Hyderabad
998,Felica, Continental,800,4.3,Kothaguda,,West Hyderabad
999,Subway, Fast Food,500,5,Phoenix Tower A,Madhapur,West Hyderabad
1000,Eat Burp Repeat," Continental, Italian",500,,Cuba Food Havana,Film Nagar,Central West Hyderabad
1001,London Waffle Co., Desserts,300,,Cuba Food Havana,Film Nagar,Central West Hyderabad
1002,Roll Zone, Fast Food,200,,Cuba Food Havana,Film Nagar,Central West Hyderabad
1003,Yellolife Cafe," Italian, Health Food",1600,,Jubilee Hills,,Central West Hyderabad
1004,Brundavan Bar & Restaurant," North Indian, Chinese",1200,3.9,Dilsukh Nagar,,East Hyderabad
1005,Revel Ice cream, Desserts,200,,Jubilee Hills,,Central West Hyderabad
1006,Oh! Calcutta," Bengali, Seafood",1800,4.2,Hitech City,,West Hyderabad
1007,Kinara Grand," North Indian, Chinese",1000,2,Malkajgiri,,Secunderabad
1008,Amara," North Indian, Chinese",2500,4.3,Trident Hotel,Hitech City,West Hyderabad
1009,Tundey Kababi," Mughlai, Awadhi",500,4.5,Gachibowli,,West Hyderabad
1010,Sha Sha - Shandaar Shawarma," Lebanese, Fast Food",300,2.3,Jeedimetla,,Secunderabad
1011,Taro," Japanese, Asian, Chinese, Desserts",3500,,Jubilee Hills,,Central West Hyderabad
1012,Resign Sky Bar," Continental, Finger Food",1800,4.2,Cyber Grub,Hitech City,West Hyderabad
1013,Dough Mama," Pizza, Italian, Beverages",1000,,Jubilee Hills,,Central West Hyderabad
1014,Tea Lounge," Continental, Tea",500,5,Lemon Tree Premier,"HITEC City, Hyderabad,Hitech City",West Hyderabad
1015,Food Workshop, Fast Food,400,5,Kukatpally,,West Hyderabad
1016,Holly Jolly Eats," Asian, Chinese, Japanese",1200,3,Madhapur,,West Hyderabad
1017,Ohri's Cake Nation," Fast Food, Desserts",500,,Trimulgherry,,Secunderabad
1018,Southern Spice," South Indian, North Indian, Chinese",600,3.4,Retro Drive In,Madhapur,West Hyderabad
1019,CIBO House," Continental, Italian, European, Beverages, Desserts",1700,4.3,Phoenix Tower A,Hitech City,West Hyderabad
1020,Mainland China," Chinese, Asian",1200,4.2,Hitech City,,West Hyderabad
1021,The Punjabis Swag, North Indian,600,3.7,Madhapur,,West Hyderabad
1022,Barista," Fast Food, Beverages, Desserts",900,,Malakpet,,South Hyderabad
1023,Maggi," North Indian, Fast Food",200,,Mehdipatnam,,Central Hyderabad
1024,Ala Dakshinapuramlo Buffet," South Indian, Seafood",1500,4,Phoenix Tower A,Hitech City,West Hyderabad
1025,Apsara Ice Creams, Desserts,300,4.3,Kukatpally,,West Hyderabad
1026,Ohri's Sahib's BBQ," North Indian, Awadhi, Hyderabadi",2000,3.6,Hitech City,,West Hyderabad
1027,Itlu," South Indian, North Indian",1000,,Jubilee Hills,,Central West Hyderabad
1028,Republic of Noodles," Chinese, Asian",2100,4.7,Lemon Tree Premier,"HITEC City, Hyderabad,Hitech City",West Hyderabad
